quantity,parameter,group,S1,S1_conf,ST,ST_conf,n_imputed
peak_lvot_gradient_mmhg,a_pas_kpa,hidden,-0.0026326029517038606,0.019558848333479605,0.017030858377032002,0.005737437619104778,0
peak_lvot_gradient_mmhg,b_pas,hidden,0.004028843052312695,0.014203019794191005,0.01679976793005485,0.005899623604769249,0
peak_lvot_gradient_mmhg,ca50_ref_um,hidden,0.03973692148834584,0.045447717990993605,0.07239266465838341,0.018829956545597132,0
peak_lvot_gradient_mmhg,clearance_l_per_h,hidden,0.0,0.0,0.0,0.0,0
peak_lvot_gradient_mmhg,heart_rate_bpm,loading,0.007748467089939607,0.011237137845685663,0.00324355900035314,0.0012372820140089233,0
peak_lvot_gradient_mmhg,total_blood_volume_ml,loading,-0.0016638456551412517,0.011093977049246582,0.00613266753964291,0.0018656191591778757,0
peak_lvot_gradient_mmhg,systemic_resistance_mmhg_s_per_ml,loading,0.0015769569836807376,0.011268343002950201,0.005578675777371321,0.001186317202391981,0
end_diastolic_pressure_mmhg,wall_volume_ml,measured,0.014508794252187297,0.018569351856204796,0.015093628303109664,0.0031271787616007135,0
end_diastolic_pressure_mmhg,ref_cavity_volume_ml,measured,0.13962027733052454,0.05208889077283252,0.1511106902557937,0.023029627699209347,0
end_diastolic_pressure_mmhg,body_surface_area_m2,measured,0.0,0.0,0.0,0.0,0
end_diastolic_pressure_mmhg,phi_baseline,hidden,0.007141553441934162,0.010579023503957369,0.006432411873026328,0.003202236034506603,0
end_diastolic_pressure_mmhg,a_pas_kpa,hidden,0.2844727647378196,0.08819309152490144,0.2949439349457418,0.05824435503412466,0
end_diastolic_pressure_mmhg,b_pas,hidden,0.17642940113244476,0.06814069558495185,0.1913813535566877,0.03851271580740119,0
end_diastolic_pressure_mmhg,ca50_ref_um,hidden,0.01712378358719767,0.019809237544954488,0.029863769038376717,0.00961028056937348,0
end_diastolic_pressure_mmhg,clearance_l_per_h,hidden,0.0,0.0,0.0,0.0,0
end_diastolic_pressure_mmhg,heart_rate_bpm,loading,0.06113235130814923,0.03451262068598159,0.05684187461968696,0.010319282465509536,0
