patient_id,condition,noise_level,condition_number,eigenvalue_0,eigenvalue_1,eigenvalue_2,eigenvalue_3,eigenvalue_4,invisible_weight_phi_baseline,invisible_weight_a_pas_kpa,invisible_weight_b_pas,invisible_weight_ca50_ref_um,invisible_weight_clearance_l_per_h
2104,rest@0,optimistic,2.4567224701987022e+302,245.6722470198702,156.13663419709778,1.1102129624390187,0.4319434313883796,0.0,0.0,0.0,0.0,0.0,1.0
2197,rest@0,optimistic,1.458166239057292e+303,1458.1662390572922,9.933111827216168,1.2121717539359227,0.07151411862107476,0.0,0.0,0.0,0.0,0.0,1.0
2202,rest@0,optimistic,1.514038713376851e+303,1514.038713376851,9.411438849326752,1.2559254094396646,0.06570901780195365,0.0,0.0,0.0,0.0,0.0,1.0
2309,rest@0,optimistic,2.858411246385128e+302,285.84112463851284,114.27503896705467,1.3754851200838416,0.7309847566283364,0.0,0.0,0.0,0.0,0.0,1.0
2318,rest@0,optimistic,5.699658727755695e+302,569.9658727755696,152.57846872891037,3.6002234802412323,0.6474097865542164,0.0,0.0,0.0,0.0,0.0,1.0
2669,rest@0,optimistic,4.130812949552676e+302,413.08129495526765,103.94057189400901,1.9141356582058646,0.48371926261646975,0.0,0.0,0.0,0.0,0.0,1.0
2682,rest@0,optimistic,5.2331537085105774e+302,523.3153708510578,66.64494860596226,1.888490018475404,1.0817253551772656,0.0,0.0,0.0,0.0,0.0,1.0
2686,rest@0,optimistic,5.014018859914813e+302,501.4018859914813,66.7782517266763,1.8319701315111618,0.9784486136991091,0.0,0.0,0.0,0.0,0.0,1.0
2740,rest@0,optimistic,3.5932429941723235e+302,359.3242994172324,188.48912935939785,1.8222756313771298,0.6126890732921254,0.0,0.0,0.0,0.0,0.0,1.0
2772,rest@0,optimistic,5.520321961678546e+302,552.0321961678546,110.16889077241895,1.7090588234639423,0.272385460778112,0.0,0.0,0.0,0.0,0.0,1.0
2780,rest@0,optimistic,6.3118674382921835e+302,631.1867438292184,74.39794124426014,1.0264567394624708,0.18446593524971786,0.0,0.0,0.0,0.0,0.0,1.0
2781,rest@0,optimistic,3.805518091948167e+302,380.55180919481666,114.82503612277435,1.9845763696098386,1.0107570263022483,0.0,0.0,0.0,0.0,0.0,1.0
2784,rest@0,optimistic,2.724761194539965e+303,2724.7611945399653,42.2544958222494,20.606717383349267,0.0026085373602822977,0.0,0.0,0.0,0.0,0.0,1.0
2807,rest@0,optimistic,4.8580868988541496e+302,485.80868988541494,75.17619763654488,1.3077968916134877,0.16570379555218726,0.0,0.0,0.0,0.0,0.0,1.0
2830,rest@0,optimistic,2.7453443229446174e+302,274.53443229446174,174.9468319729932,1.5844756724208817,0.5672065770248144,0.0,0.0,0.0,0.0,0.0,1.0
2939,rest@0,optimistic,1.374911502454334e+303,1374.911502454334,18.010653936973245,2.2853658310813127,0.06675399131965856,0.0,0.0,0.0,0.0,0.0,1.0
