noise_level,patient_id,parameter,truth,posterior_median,relative_bias,relative_ci90_width
optimistic,1728,ca50_ref_um,0.4942161155398935,0.4946678680332001,0.0009140788394023534,0.26787705986909627
optimistic,1728,clearance_l_per_h,0.368265826292336,0.6336136114412578,0.7205332838520944,2.355157141202909
optimistic,2104,phi_baseline,0.5032637315057218,0.4786116917531822,-0.04898433606328598,0.5410328377541366
optimistic,2104,a_pas_kpa,3.810897308588028,3.0289481955362083,-0.20518766309699882,0.9268117435652051
optimistic,2104,b_pas,11.245111547410488,13.659704909454662,0.21472382482503732,0.9213385985936143
optimistic,2104,ca50_ref_um,0.6001061698887498,0.5431729381905388,-0.09487193192625479,0.3271695475321349
optimistic,2104,clearance_l_per_h,0.5226317122299224,0.6113490781956489,0.16975121082338154,1.6717870901374616
optimistic,2197,phi_baseline,0.5603096226789057,0.5201401456434114,-0.0716915708915356,0.39808154889920105
optimistic,2197,a_pas_kpa,1.8365378629416225,2.7089539536249223,0.47503300001990273,2.209995971131757
optimistic,2197,b_pas,9.292691806331275,9.604019231169781,0.03350239428218132,1.1148638894722693
optimistic,2197,ca50_ref_um,0.5019678112585098,0.5036807635851928,0.0034124744421128745,0.2352179025570683
optimistic,2197,clearance_l_per_h,0.625666914889589,0.6445327913528383,0.030153226923591552,1.3932553282904185
optimistic,2202,phi_baseline,0.5603096226789057,0.5304948425866391,-0.053211258356975245,0.3568448225249445
optimistic,2202,a_pas_kpa,1.7583577990531922,1.1376372944287865,-0.35301148887822476,1.489982021265117
optimistic,2202,b_pas,9.292691806331275,9.796864894203733,0.05425479488397059,1.1583553606731525
optimistic,2202,ca50_ref_um,0.5019678112585098,0.49729140048773235,-0.009316156665609558,0.18745554890647095
optimistic,2202,clearance_l_per_h,0.625666914889589,0.6126557616970012,-0.02079565481720238,1.378888680602989
optimistic,2309,phi_baseline,0.3817946171574294,0.3661266233053302,-0.04103775471941415,0.6366633243320506
optimistic,2309,a_pas_kpa,4.281688759103417,4.340231459582405,0.013672806168948767,0.5062491562943529
optimistic,2309,b_pas,15.904170874506235,16.968452841110988,0.06691841875961956,0.38799150082513484
optimistic,2309,ca50_ref_um,0.6667606321163476,0.7060223262233716,0.05888424153418362,0.3220150622130076
optimistic,2309,clearance_l_per_h,0.8847404859308154,0.6153187933181581,-0.30452058755874034,0.9855820138083203
optimistic,2318,phi_baseline,0.4360603837110102,0.5719716472532099,0.31167991548682406,0.33913598930596306
optimistic,2318,a_pas_kpa,3.659991013910621,4.181795962574512,0.14257000814500737,0.6064395045725971
optimistic,2318,b_pas,17.309803808107972,17.48133892471902,0.009909708885937745,0.28869619073319924
optimistic,2318,ca50_ref_um,0.4552089657168836,0.476724930839476,0.04726612774137279,0.20628748963568028
optimistic,2318,clearance_l_per_h,1.0711677263025194,0.5771331099899419,-0.4612112596202811,0.8195504134303291
optimistic,2669,phi_baseline,0.570456317961216,0.5384508108652404,-0.05610509707449955,0.36506666261719295
optimistic,2669,a_pas_kpa,5.485666964855045,3.8838725140602355,-0.2919962989107808,0.4422630536024314
optimistic,2669,b_pas,15.33834638632834,17.28350640302508,0.1268168006970123,0.38284664322039597
optimistic,2669,ca50_ref_um,0.4974722117651254,0.5368395327691556,0.07913471360409768,0.380750544696332
optimistic,2669,clearance_l_per_h,1.00828183173202,0.5826662252694519,-0.42211968228312546,0.8691401219631028
optimistic,2682,phi_baseline,0.4665888781473041,0.48599218347305456,0.04158544327673571,0.6000474762744848
optimistic,2682,a_pas_kpa,3.552335603907704,4.4706460345996035,0.25850891725481207,0.607278068810657
optimistic,2682,b_pas,17.434435788542032,16.744419074436625,-0.039577805813417195,0.3510421360805795
optimistic,2682,ca50_ref_um,0.7124830447137356,0.6845088408975746,-0.03926297478054456,0.37698593186749507
optimistic,2682,clearance_l_per_h,0.8144156885053964,0.6226975835452437,-0.23540571193071055,1.0712225657100778
optimistic,2686,phi_baseline,0.4970855423249304,0.4026917645786514,-0.1898944340742393,0.5576994349925507
optimistic,2686,a_pas_kpa,3.552335603907704,3.523649118563727,-0.008075387165677921,0.7620624878234021
optimistic,2686,b_pas,17.434435788542032,16.98365302451503,-0.025855884841610968,0.40928795096724163
optimistic,2686,ca50_ref_um,0.7124830447137356,0.6472463172919551,-0.09156249809143391,0.3944389735853509
optimistic,2686,clearance_l_per_h,0.3806414285022765,0.6080152892753876,0.5973439666506276,2.3066624667665825
optimistic,2740,phi_baseline,0.4835096934996545,0.5269999483642487,0.08994701750405601,0.4635138305012359
optimistic,2740,a_pas_kpa,2.0492463688366116,2.926522800922127,0.42809710214763425,1.8698695502996114
optimistic,2740,b_pas,12.707669638097286,9.052293946259097,-0.28765114265163627,0.8200538587604056
optimistic,2740,ca50_ref_um,0.5663044549524784,0.5608745305188467,-0.009588348433683636,0.2986050381001719
optimistic,2740,clearance_l_per_h,0.511800679769367,0.626914160918191,0.22491857806968438,1.7159300718583477
optimistic,2772,phi_baseline,0.518708560075611,0.4500028508937443,-0.13245532167784463,0.5818541466916908
optimistic,2772,a_pas_kpa,2.741164559777826,3.1848714318591442,0.1618680171894829,1.2910622855281595
optimistic,2772,b_pas,7.9647938795387745,8.365937081050397,0.05036454270864975,0.971741088564473
optimistic,2772,ca50_ref_um,0.6608097308315337,0.633428966846177,-0.0414351706820388,0.3743494640297553
