quantity,parameter,spearman,p_value
e_over_e_prime,heart_rate_bpm,0.004671278604315537,0.7411025404639213
e_over_e_prime,total_blood_volume_ml,-0.08676320732851002,7.835965311692384e-10
e_over_e_prime,systemic_resistance_mmhg_s_per_ml,0.04267693585716369,0.002529039116527358
peak_strain_amplitude,wall_volume_ml,-0.4066273309150291,1.2342557396549458e-198
peak_strain_amplitude,ref_cavity_volume_ml,-0.04317726415898967,0.002248493087187068
peak_strain_amplitude,body_surface_area_m2,0.013628455158798606,0.33506449584400916
peak_strain_amplitude,phi_baseline,0.12270312509371657,2.9981084180018994e-18
peak_strain_amplitude,a_pas_kpa,-0.5168895112394443,0.0
peak_strain_amplitude,b_pas,-0.4699734598755227,1.7183467434846088e-273
peak_strain_amplitude,ca50_ref_um,-0.055603851054575236,8.291523564119769e-05
peak_strain_amplitude,clearance_l_per_h,-0.012321654250068308,0.3834684337398804
peak_strain_amplitude,heart_rate_bpm,-0.3144883541480374,2.600272786959069e-115
peak_strain_amplitude,total_blood_volume_ml,0.13173398876186967,8.115560371849201e-21
peak_strain_amplitude,systemic_resistance_mmhg_s_per_ml,-0.1677304748362578,6.647690913136152e-33
mean_arterial_pressure_mmhg,wall_volume_ml,0.20718775523539645,1.1704963516245078e-49
mean_arterial_pressure_mmhg,ref_cavity_volume_ml,0.2471208558661867,1.5905318574877144e-70
mean_arterial_pressure_mmhg,body_surface_area_m2,0.017114006311231597,0.22607399886437
mean_arterial_pressure_mmhg,phi_baseline,0.0453787465701412,0.0013217352301773194
mean_arterial_pressure_mmhg,a_pas_kpa,-0.503622542614229,0.0
mean_arterial_pressure_mmhg,b_pas,-0.4325055441877139,2.6659884753153263e-227
mean_arterial_pressure_mmhg,ca50_ref_um,0.0644460169823729,5.0450818831803196e-06
mean_arterial_pressure_mmhg,clearance_l_per_h,0.005184903373013971,0.7138262866283999
mean_arterial_pressure_mmhg,heart_rate_bpm,0.24511644151704334,2.2184748919140685e-69
mean_arterial_pressure_mmhg,total_blood_volume_ml,0.29194392735964003,6.402303126544879e-99
mean_arterial_pressure_mmhg,systemic_resistance_mmhg_s_per_ml,0.42676882727001036,9.983344070564188e-221
cardiac_output_l_per_min,wall_volume_ml,0.22763923292498342,7.695376774157818e-60
cardiac_output_l_per_min,ref_cavity_volume_ml,0.32134566874837295,1.3685306525430448e-120
cardiac_output_l_per_min,body_surface_area_m2,-0.005527135797904675,0.695850307524123
cardiac_output_l_per_min,phi_baseline,0.03914452703107816,0.005610976387180395
cardiac_output_l_per_min,a_pas_kpa,-0.5686997458332124,0.0
cardiac_output_l_per_min,b_pas,-0.49270317143020775,1.850580263822428e-304
cardiac_output_l_per_min,ca50_ref_um,0.09785769408337412,3.977734907832371e-12
cardiac_output_l_per_min,clearance_l_per_h,0.009278710373446856,0.5116426738280823
cardiac_output_l_per_min,heart_rate_bpm,0.25766687050512793,1.0149375235325207e-76
cardiac_output_l_per_min,total_blood_volume_ml,0.20466104635847832,1.795697645368133e-48
cardiac_output_l_per_min,systemic_resistance_mmhg_s_per_ml,-0.17401243791858328,2.5378768018775146e-35
heart_rate_bpm,wall_volume_ml,-0.003927805514852374,0.7811595275203868
heart_rate_bpm,ref_cavity_volume_ml,-6.136304378670163e-05,0.9965371064460622
heart_rate_bpm,body_surface_area_m2,0.003902317390598911,0.7825438144907094
heart_rate_bpm,phi_baseline,-0.0027127548382345104,0.8478447918073578
heart_rate_bpm,a_pas_kpa,0.0012260272073536165,0.9308981177420632
heart_rate_bpm,b_pas,0.0008237334926735397,0.9535404743325181
heart_rate_bpm,ca50_ref_um,-0.012018928114355476,0.39526409819735014
heart_rate_bpm,clearance_l_per_h,0.0012148782257767029,0.931524949893104
heart_rate_bpm,heart_rate_bpm,1.0,0.0
heart_rate_bpm,total_blood_volume_ml,-0.0037299435983791165,0.791923486696318
heart_rate_bpm,systemic_resistance_mmhg_s_per_ml,-0.014585571291472412,0.3022275234036142
thickness_to_cavity_ratio,wall_volume_ml,0.6427968398247133,0.0
thickness_to_cavity_ratio,ref_cavity_volume_ml,-0.5121361537601438,0.0
thickness_to_cavity_ratio,body_surface_area_m2,0.0011280672513380538,0.936407168906411
thickness_to_cavity_ratio,phi_baseline,0.10011805856438458,1.2563776663539898e-12
thickness_to_cavity_ratio,a_pas_kpa,0.2818786179889322,4.562598457009336e-92
thickness_to_cavity_ratio,b_pas,0.23720201422710563,5.799712347284803e-65
thickness_to_cavity_ratio,ca50_ref_um,-0.18852741731479253,2.87520190160511e-41
thickness_to_cavity_ratio,clearance_l_per_h,0.0017172339516169349,0.9033288973142192
thickness_to_cavity_ratio,heart_rate_bpm,0.1924367016140701,5.9016660281738646e-43
