label,time_s,cavity_volume_ml,lv_pressure_mmhg,arterial_pressure_mmhg,venous_pressure_mmhg,aortic_flow_ml_per_s,mitral_flow_ml_per_s,lvot_gradient_mmhg,attached_fraction,parked_fraction,calcium_um
healthy,0.8907692307692308,111.26010012587231,9.45203206555553,80.82052422513011,9.689667246093766,0.0,58.283421743574586,0.0,0.008438394881817869,0.6048224792087613,0.10602608588670213
healthy,0.8930769230769231,111.39362587545673,9.461007194158558,80.7277418656498,9.69128086352924,0.0,57.44219074326165,0.0,0.008425163280038103,0.6047581256392892,0.10591626889441973
healthy,0.8953846153846154,111.52523296019874,9.469981063553945,80.6350827113524,9.693008428700145,0.0,56.62049075377275,0.0,0.008412189538952874,0.6046940705848507,0.10580841438057767
healthy,0.8976923076923078,111.65496584599425,9.478953169209987,80.54254674822089,9.694846978802017,0.0,55.817798969876335,0.0,0.008399470883275209,0.6046303114197951,0.1057024881920473
healthy,0.9,111.78286780683531,9.487923036446034,80.45013395844417,9.69679363092064,0.0,55.033605208024746,0.0,0.0083870045739172,0.6045668452881675,0.10559845674794709
healthy,0.9023076923076924,111.90898095388934,9.496890218400551,80.35784432052495,9.698845580081217,0.0,54.26741186002049,0.0,0.008374787904625048,0.6045036691285702,0.10549628703060233
healthy,0.9046153846153846,112.03334626443754,9.505854294132128,80.26567780938494,9.701000097307203,0.0,53.51873381770095,0.0,0.00836281819892119,0.6044407796975048,0.10539594657663358
healthy,0.906923076923077,112.15600361060915,9.514814866844764,80.1736343964674,9.703254527693083,0.0,52.787098371838006,0.0,0.008351092807334292,0.6043781735912572,0.10529740346817223
healthy,0.9092307692307693,112.27699178785538,9.523771562229902,80.08171404983706,9.705606288494776,0.0,52.07204508813029,0.0,0.008339609104898688,0.6043158472663877,0.10520062632420216
healthy,0.9115384615384616,112.39634854311343,9.532724026917451,79.9899167342774,9.708052867241,0.0,51.37312566303799,0.0,0.00832836448890559,0.6042537970588846,0.10510558429202548
